ID,datetime,temperature,var1,pressure,windspeed,var2,electricity_consumption
0,01/07/13 0:00,-11.4,-17.1,1003,571.91,A,216
1,01/07/13 1:00,-12.1,-19.3,996,575.04,A,210
2,01/07/13 2:00,-12.9,-20,1000,578.435,A,225
3,01/07/13 3:00,-11.4,-17.1,995,582.58,A,216
4,01/07/13 4:00,-11.4,-19.3,1005,586.6,A,222
5,01/07/13 5:00,-10.7,-19.3,1013,2.79,A,216
6,01/07/13 6:00,-13.6,-17.1,1006,4.38,A,219
7,01/07/13 7:00,-11.4,-17.9,997,7.635,A,222
8,01/07/13 8:00,-10.7,-18.6,1012,12.055,A,219
9,01/07/13 9:00,-10,-16.4,1002,17.975,A,222
10,01/07/13 10:00,-7.1,-17.1,1008,23.035,A,201
11,01/07/13 11:00,-7.9,-17.9,1003,28.205,A,204
12,01/07/13 12:00,-5.7,-15,998,31.725,A,210
13,01/07/13 13:00,-6.4,-14.3,1008,35.62,A,216
14,01/07/13 14:00,-3.6,-15,999,40.915,A,216
15,01/07/13 15:00,-5,-14.3,997,44.56,A,216
16,01/07/13 16:00,-4.3,-16.4,1009,48.44,A,213
17,01/07/13 17:00,-7.1,-18.6,1003,50.355,A,198
18,01/07/13 18:00,-7.1,-16.4,1007,53.235,A,198
19,01/07/13 19:00,-6.4,-16.4,996,56.365,A,213
20,01/07/13 20:00,-7.9,-17.1,997,59.87,A,216
21,01/07/13 21:00,-6.4,-15.7,996,63.515,A,222
22,01/07/13 22:00,-9.3,-15.7,1015,67.41,A,210
23,01/07/13 23:00,-10,-16.4,1012,72.08,A,216
24,02/07/13 0:00,-8.6,-14.3,1003,76.35,A,210
25,02/07/13 1:00,-7.9,-17.1,1011,5.77,A,231
26,02/07/13 2:00,-8.6,-14.3,1000,10.065,A,210
27,02/07/13 3:00,-10.7,-15.7,997,5.52,A,213
28,02/07/13 4:00,-10.7,-14.3,1016,4.77,A,204
29,02/07/13 5:00,-8.6,-16.4,1015,9.665,A,222
30,02/07/13 6:00,-8.6,-17.9,1015,6.17,A,210
31,02/07/13 7:00,-10,-17.9,1003,5.27,A,210
32,02/07/13 8:00,-10,-17.1,1017,10.44,A,198
33,02/07/13 9:00,-7.9,-17.9,1011,14.335,A,204
34,02/07/13 10:00,-7.1,-17.9,1005,18.23,A,225
35,02/07/13 11:00,-7.1,-13.6,1009,22.625,A,213
36,02/07/13 12:00,-7.1,-14.3,1016,25.005,A,204
37,02/07/13 13:00,-3.6,-13.6,1001,2.415,A,237
38,02/07/13 14:00,-5,-17.1,1005,4.305,A,210
39,02/07/13 15:00,-5.7,-15,1011,5.195,A,234
40,02/07/13 16:00,-3.6,-16.4,1010,5.835,A,243
41,02/07/13 17:00,-5,-17.1,999,6.225,A,234
42,02/07/13 18:00,-5.7,-17.1,1011,2.54,A,240
43,02/07/13 19:00,-7.9,-13.6,996,1.64,A,276
44,02/07/13 20:00,-7.1,-14.3,1007,1.765,A,264
45,02/07/13 21:00,-7.9,-15,995,2.39,A,270
46,02/07/13 22:00,-8.6,-13.6,1005,3.405,A,282
47,02/07/13 23:00,-8.6,-15,995,4.545,A,258
48,03/07/13 0:00,-7.9,-15.7,1011,2.14,A,249
49,03/07/13 1:00,-8.6,-12.1,1002,3.28,A,270
50,03/07/13 2:00,-10,-14.3,996,4.295,A,288
51,03/07/13 3:00,-8.6,-12.9,1002,4.435,A,348
52,03/07/13 4:00,-10.7,-13.6,1004,1.515,A,396
53,03/07/13 5:00,-10.7,-15,1005,1.64,A,414
54,03/07/13 6:00,-10.7,-12.1,995,2.765,A,381
55,03/07/13 7:00,-9.3,-15,999,2.015,A,411
56,03/07/13 8:00,-10,-15.7,999,4.555,A,381
57,03/07/13 9:00,-10,-12.1,995,1.765,A,324
58,03/07/13 10:00,-7.1,-15,994,2.14,A,327
59,03/07/13 11:00,-5.7,-10.7,994,2.39,A,300
60,03/07/13 12:00,-5,-12.9,1009,1.765,A,312
61,03/07/13 13:00,-5.7,-12.9,1006,2.655,A,333
62,03/07/13 14:00,-3.6,-12.9,1004,4.295,A,372
63,03/07/13 15:00,-5,-14.3,995,3.29,A,417
64,03/07/13 16:00,-5,-14.3,999,2.14,A,423
65,03/07/13 17:00,-7.1,-14.3,989,2.965,A,414
66,03/07/13 18:00,-7.1,-12.9,1008,2.015,A,396
